%Datos para crear un modelo de reconocimiento de actividades fisicas. 
%Orden supuesto: CHEST ACCX MEAN, ACCY MEAN ACCZ MEAN ACCX STD ACCY STD ACCZ STD ACCX MAX...LC ACCX MEAN... RLA....
%Orden real: 
@relation activities

%CHEST
@attribute chestAccXmean numeric
@attribute chestAccYmean numeric
@attribute chestAccZmean numeric
@attribute chestAccXstd numeric
@attribute chestAccYstd numeric
@attribute chestAccZstd numeric
@attribute chestAccXmax numeric
@attribute chestAccYmax numeric
@attribute chestAccZmax numeric
@attribute chestAccXmin numeric
@attribute chestAccYmin numeric
@attribute chestAccZmin numeric

%LC
@attribute lcAccXmean numeric
@attribute lcAccYmean numeric
@attribute lcAccZmean numeric
@attribute lcAccXstd numeric
@attribute lcAccYstd numeric
@attribute lcAccZstd numeric
@attribute lcAccXmax numeric
@attribute lcAccYmax numeric
@attribute lcAccZmax numeric
@attribute lcAccXmin numeric
@attribute lcAccYmin numeric
@attribute lcAccZmin numeric

%RLA
@attribute rlaAccXmean numeric
@attribute rlaAccYmean numeric
@attribute rlaAccZmean numeric
@attribute rlaAccXstd numeric
@attribute rlaAccYstd numeric
@attribute rlaAccZstd numeric
@attribute rlaAccXmax numeric
@attribute rlaAccYmax numeric
@attribute rlaAccZmax numeric
@attribute rlaAccXmin numeric
@attribute rlaAccYmin numeric
@attribute rlaAccZmin numeric

%CLASS ATTRIBUTE
@attribute activity {1,2,3,4,5,6,7,8,9,10,11,12}

@data
-9.6925,0.05272,1.0189,0.14215,0.14503,0.16721,-9.3541,0.41607,1.4168,-9.9937,-0.60029,0.42275,0.56573,-9.7488,0.90547,0.096602,0.088754,0.10311,0.86248,-9.5456,1.2197,0.3601,-9.9499,0.62207,-3.1252,-8.9726,2.1057,0.10497,0.11126,0.119,-2.883,-8.7082,2.387,-3.3515,-9.2173,1.8838,1
-9.7368,0.067475,1.0438,0.13847,0.14768,0.18322,-9.4181,0.41539,1.439,-10.062,-0.33836,0.64309,0.57589,-9.72,1.0203,0.093367,0.10513,0.096881,0.87346,-9.5053,1.2358,0.37323,-10.009,0.75312,-3.1544,-8.9431,2.1478,0.13636,0.11033,0.11801,-2.7807,-8.6977,2.5464,-3.4274,-9.1815,1.8534,1
-9.7002,0.079884,1.0181,0.14046,0.16753,0.14607,-9.3211,0.43623,1.359,-9.9416,-0.41659,0.61104,0.5618,-9.7291,0.98281,0.10315,0.095725,0.11328,0.85165,-9.5445,1.3384,0.34076,-10.039,0.71414,-3.1571,-8.9613,2.0811,0.12085,0.10565,0.11076,-2.8708,-8.6686,2.3315,-3.5375,-9.2113,1.8728,1
-9.73,0.069775,0.94952,0.12728,0.12867,0.13231,-9.4052,0.37587,1.3702,-10.042,-0.23712,0.61548,0.60139,-9.7229,1.0462,0.11132,0.087144,0.10241,0.89194,-9.4143,1.3136,0.32414,-9.9299,0.8088,-3.166,-8.979,2.0661,0.11137,0.093976,0.12009,-2.8605,-8.7077,2.3329,-3.3921,-9.1501,1.7274,1
-9.7187,0.11901,0.96922,0.12302,0.16032,0.15568,-9.4284,0.52759,1.3647,-9.9514,-0.24784,0.51059,0.57489,-9.7232,1.0166,0.096235,0.11026,0.10599,0.79441,-9.4943,1.245,0.30959,-10,0.75097,-3.1744,-8.9714,2.0414,0.10463,0.09649,0.10337,-2.9157,-8.6797,2.2218,-3.3932,-9.1816,1.7537,1
-9.7358,0.063284,0.90951,0.123,0.14198,0.16155,-9.4139,0.42038,1.2685,-10.142,-0.29737,0.43196,0.56933,-9.7175,1.0174,0.10196,0.097681,0.10041,0.83339,-9.4948,1.2664,0.34108,-9.9005,0.76294,-3.1315,-8.9805,2.0523,0.11455,0.1048,0.1054,-2.8132,-8.6885,2.2902,-3.3776,-9.3011,1.8322,1
-9.7053,0.083369,0.96158,0.15291,0.14021,0.14304,-9.2071,0.49774,1.2263,-10.006,-0.19879,0.56874,0.5726,-9.6948,1.027,0.099754,0.10305,0.10723,0.82233,-9.3945,1.2378,0.2982,-9.9221,0.73689,-3.1664,-8.968,2.0281,0.11494,0.11202,0.10346,-2.873,-8.6063,2.3718,-3.4733,-9.2103,1.7319,1
-9.7227,0.064061,0.93394,0.13628,0.12671,0.1432,-9.364,0.47724,1.342,-10.062,-0.17508,0.65816,0.59069,-9.6958,1.0238,0.096944,0.091359,0.097456,0.8023,-9.4549,1.2234,0.35262,-9.9013,0.80221,-3.1513,-8.9705,2.0174,0.10008,0.097726,0.091897,-2.9434,-8.6494,2.2853,-3.4531,-9.2712,1.7979,1
-9.7409,0.071337,0.87154,0.13742,0.13912,0.15316,-9.3767,0.48733,1.2326,-10.236,-0.38844,0.41642,0.59461,-9.717,1.0141,0.090637,0.095206,0.089084,0.83356,-9.4747,1.2998,0.35074,-9.9308,0.74214,-3.1309,-8.9898,2.0099,0.087496,0.10727,0.097031,-2.8803,-8.6902,2.2455,-3.3195,-9.2692,1.7448,1
-9.734,0.069381,0.866,0.11093,0.14614,0.14512,-9.445,0.4987,1.2331,-9.9459,-0.35668,0.43985,0.60136,-9.7154,1.0014,0.10525,0.093113,0.08983,0.82342,-9.4772,1.2522,0.3817,-9.9707,0.79401,-3.1479,-8.9861,1.9852,0.09632,0.10485,0.095334,-2.9449,-8.7402,2.2198,-3.3972,-9.2691,1.6531,1
-9.7309,0.12061,0.89579,0.14389,0.14691,0.14072,-9.4856,0.47903,1.1795,-10.195,-0.27735,0.3447,0.59751,-9.7101,1.0016,0.097816,0.090522,0.099345,0.89067,-9.496,1.2697,0.29013,-9.892,0.74602,-3.0983,-9.0166,1.9489,0.10668,0.11657,0.10343,-2.8707,-8.7107,2.1904,-3.4686,-9.3001,1.6763,1
-9.7251,0.057391,0.83612,0.15759,0.13346,0.14048,-9.1349,0.44772,1.1286,-10.091,-0.24976,0.36617,0.57475,-9.7183,0.96795,0.09817,0.11332,0.10259,0.79527,-9.4168,1.1922,0.31124,-10.028,0.64636,-3.0534,-9.0278,1.9402,0.11262,0.10749,0.10209,-2.8371,-8.6807,2.1934,-3.4239,-9.3206,1.709,1
-9.7239,0.084365,0.93246,0.1475,0.14275,0.14439,-9.2357,0.55627,1.4495,-10.011,-0.27764,0.59802,0.58487,-9.7162,0.96163,0.10045,0.098621,0.099352,0.82101,-9.4352,1.2158,0.2576,-9.9932,0.6837,-3.0905,-8.9866,1.9829,0.1058,0.09014,0.10127,-2.8472,-8.64,2.1841,-3.3951,-9.19,1.6743,1
-9.7073,0.11558,0.87728,0.13671,0.12865,0.14217,-9.3969,0.42068,1.337,-10.094,-0.22526,0.5253,0.5977,-9.7064,0.98369,0.085621,0.090288,0.11911,0.80263,-9.485,1.2732,0.37242,-9.9117,0.63766,-3.1309,-8.9959,1.963,0.14856,0.10528,0.13454,-2.8066,-8.7497,2.2515,-3.5333,-9.2914,1.6565,1
-9.7301,0.12496,0.858,0.11897,0.1339,0.13471,-9.4769,0.52842,1.1853,-10.156,-0.18171,0.46786,0.61213,-9.7242,0.97845,0.1043,0.11602,0.11829,0.87255,-9.4076,1.4281,0.27057,-9.9921,0.61021,-3.1248,-8.9945,1.9856,0.1254,0.11888,0.12432,-2.7595,-8.7297,2.1989,-3.353,-9.2902,1.578,1
-9.7188,0.1028,0.87674,0.13141,0.13742,0.13411,-9.3121,0.47111,1.1772,-10.065,-0.12493,0.53569,0.60644,-9.7085,0.98531,0.11172,0.10691,0.098318,0.91516,-9.4163,1.1917,0.3008,-9.9797,0.72489,-3.1554,-9.0001,1.9688,0.10523,0.095652,0.11056,-2.87,-8.8002,2.2848,-3.434,-9.3,1.6118,1
-9.7347,0.12295,0.82603,0.13518,0.13117,0.1315,-9.3373,0.43966,1.1439,-10.062,-0.14634,0.41621,0.60589,-9.7081,1.0013,0.092824,0.10235,0.097925,0.89373,-9.5126,1.2183,0.39146,-10.08,0.76223,-3.1383,-8.9935,1.9613,0.10238,0.10352,0.10676,-2.8743,-8.6094,2.3215,-3.3908,-9.2488,1.5542,1
-9.7091,0.11567,0.89627,0.14439,0.13176,0.15508,-9.327,0.44754,1.2467,-10.184,-0.17602,0.55176,0.59408,-9.7147,1.0242,0.11084,0.10116,0.097606,0.8915,-9.4355,1.3452,0.33193,-9.952,0.7829,-3.1454,-8.9818,1.9571,0.099847,0.098954,0.10484,-2.8818,-8.7499,2.2103,-3.352,-9.2221,1.7284,1
-9.7362,0.13645,0.92012,0.12182,0.13376,0.1334,-9.4478,0.47115,1.2274,-10.024,-0.19741,0.61558,0.59076,-9.6943,1.0221,0.097521,0.097736,0.099382,0.89465,-9.4464,1.3127,0.3717,-9.9092,0.75044,-3.1748,-8.995,1.9737,0.097367,0.10062,0.1153,-2.9403,-8.6488,2.2386,-3.416,-9.2009,1.7254,1
-9.737,0.14463,0.835,0.13775,0.15603,0.16894,-9.4151,0.60869,1.3016,-10.075,-0.34345,0.33319,0.60676,-9.7146,1.0015,0.10187,0.10663,0.098014,0.87199,-9.4543,1.2184,0.41148,-9.9823,0.77698,-3.1098,-8.9933,1.9419,0.10545,0.11239,0.12502,-2.8687,-8.7101,2.2302,-3.3256,-9.2523,1.6123,1
-9.7358,0.13646,0.84046,0.12314,0.12164,0.13286,-9.3937,0.39745,1.1186,-10.074,-0.12396,0.48673,0.62036,-9.7077,1.0281,0.10366,0.086463,0.12551,0.89231,-9.427,1.2821,0.39205,-9.9211,0.63597,-3.131,-8.9907,1.9424,0.10967,0.11317,0.10179,-2.8947,-8.7086,2.2109,-3.4264,-9.3029,1.7119,1
-9.7213,0.21406,0.90864,0.13569,0.16443,0.15418,-9.3498,0.72828,1.4399,-10.113,-0.24569,0.57737,0.61539,-9.6925,1.0765,0.10128,0.10376,0.10415,0.97519,-9.4532,1.3271,0.36371,-9.9595,0.80965,-3.2282,-8.978,1.954,0.10808,0.10111,0.11613,-2.8774,-8.7104,2.2347,-3.5866,-9.2198,1.6743,1
-9.7301,-0.27064,-0.035916,0.1785,0.14212,0.20047,-9.2569,0.074862,0.38443,-10.097,-0.62028,-0.58205,-0.40818,-9.7275,1.6756,0.10666,0.11028,0.10465,-0.15945,-9.3687,1.9083,-0.64378,-9.9635,1.4189,-2.3607,-9.4074,1.1115,0.17744,0.1216,0.14916,-1.9388,-9.1106,1.4047,-2.7981,-9.7299,0.72286,1
-9.7381,-0.30992,-0.11633,0.17601,0.1312,0.21792,-9.1645,0.032775,0.41858,-10.188,-0.60084,-0.70474,-0.40323,-9.7364,1.5811,0.11162,0.11828,0.11235,-0.019853,-9.4094,1.8386,-0.59049,-10.094,1.3025,-2.2901,-9.4518,1.0739,0.13048,0.11493,0.096884,-1.8357,-9.0998,1.2936,-2.6021,-9.7405,0.79073,1
-9.7024,-0.33914,0.058744,0.17437,0.20349,0.22833,-9.3474,0.17395,0.54199,-10.134,-0.81948,-0.45278,-0.35303,-9.7299,1.6159,0.13201,0.10536,0.1168,0.062158,-9.5267,1.8558,-0.74038,-9.9859,1.3015,-2.2737,-9.4178,1.1732,0.23023,0.14064,0.15249,-1.5892,-9.0968,1.4787,-2.823,-9.7994,0.8731,1
-9.7294,-0.35788,0.07357,0.16789,0.1725,0.18784,-9.3229,0.17974,0.51031,-10.258,-0.72174,-0.64171,-0.37204,-9.7723,1.4726,0.10782,0.10388,0.10371,-0.080601,-9.5507,1.6852,-0.5731,-10.044,1.2106,-2.2547,-9.4413,1.1506,0.14328,0.10348,0.14086,-1.8535,-9.1877,1.5387,-2.5806,-9.6678,0.78531,1
-9.7387,-0.29051,0.10017,0.19166,0.16274,0.19668,-9.2264,0.092857,0.61347,-10.186,-0.66734,-0.57824,-0.34251,-9.7311,1.5863,0.10856,0.10972,0.097657,-0.10219,-9.4479,1.8046,-0.64283,-10.065,1.3101,-2.3396,-9.4051,1.1832,0.15604,0.097659,0.11453,-1.9767,-9.1378,1.4494,-2.8375,-9.7067,0.87469,1
